abc_profit,abc_revenue,available_to_ship,avg_daily_sales_official,avg_daily_stock_official,avg_unit_revenue,cogs,current_winner,damaged,gross_profit,historical_only_hit,in_sale,key,marketplace_fee,net_revenue,product_id,profit_margin_pct,reorder_candidate,returns,returns_stock,revenue,sale_price,seller_sku_id,sku,stale_stock,status,stock_cover_days,stock_value_sale,stockout_risk,storage_cost_per_day,title,to_ship,total_stock,turnover_days_official,units_sold
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-НГЧСТП1-ЧЕРН,0.0,0.0,1807,0.0,False,0,0,0.0,35.0,,WONDERS-НГЧСТП1-ЧЕРН,False,Закончился,,0.0,False,0.0,Новогодние чехлы для столовых приборов,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ДЕКНАВ1-МАНГО,0.0,0.0,2197,0.0,False,0,0,0.0,150.0,,WONDERS-ДЕКНАВ1-МАНГО,False,Закончился,,0.0,False,0.0,Декоративные наволочки 45х45 см  2 штуки,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ДЕКНАВ1-ЛАВАНД,0.0,0.0,2197,0.0,False,0,0,0.0,150.0,,WONDERS-ДЕКНАВ1-ЛАВАНД,False,Закончился,,0.0,False,0.0,Декоративные наволочки 45х45 см  2 штуки,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ДЕКНАВ1-ЛАЙМ,0.0,0.0,2197,0.0,False,0,0,0.0,150.0,,WONDERS-ДЕКНАВ1-ЛАЙМ,False,Закончился,,0.0,False,0.0,Декоративные наволочки 45х45 см  2 штуки,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ДЕКНАВ1-БАГРОВ,0.0,0.0,2197,0.0,False,0,0,0.0,150.0,,WONDERS-ДЕКНАВ1-БАГРОВ,False,Закончился,,0.0,False,0.0,Декоративные наволочки 45х45 см  2 штуки,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ДЕКНАВ1-ФУКСИЯ,0.0,0.0,2197,0.0,False,0,0,0.0,150.0,,WONDERS-ДЕКНАВ1-ФУКСИЯ,False,Закончился,,0.0,False,0.0,Декоративные наволочки 45х45 см  2 штуки,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ИГРУШКА-СТЧМЗУ1,0.0,0.0,323,0.0,False,0,0,0.0,1350.0,,WONDERS-ИГРУШКА-СТЧМЗУ1,False,Закончился,,0.0,False,0.0,Деревянная игрушка-стучалка,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ДЕРПРВ1-ДЕРЕВО,0.0,0.0,348,0.0,False,0,0,0.0,1150.0,,WONDERS-ДЕРПРВ1-ДЕРЕВО,False,Закончился,,0.0,False,0.0,Деревянный конструктор - сортер Паровозик. Развивающая игрушка,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-МШСРКС1,0.0,0.0,395,0.0,False,0,1,0.0,1890.0,,WONDERS-МШСРКС1,False,Возврат,,0.0,False,0.0,Игрушка деревянная 3 в 1: машинка сортер ксилофон,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ЖРФВЕС1,0.0,0.0,1613,0.0,False,0,1,0.0,1750.0,,WONDERS-ЖРФВЕС1,False,Возврат,,0.0,False,0.0,Деревянная игрушка 'Весёлый жирафик' 3 в 1: счеты арифметические кубики лабиринт,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ЖРФМУЗ1-ДЕРЕВОМ,0.0,0.0,1612,0.0,False,0,0,0.0,1750.0,,WONDERS-ЖРФМУЗ1-ДЕРЕВОМ,False,Закончился,,0.0,False,0.0,Деревянная игрушка 'Музыкальный жирафик' 3 в 1: счеты арифметические кубики ксилофон,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-КСЛФ1-ДЕРЕВОМ,0.0,0.0,326,0.0,False,0,0,0.0,380.0,,WONDERS-КСЛФ1-ДЕРЕВОМ,False,Закончился,,0.0,False,0.0,Ксилофон,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-КНСТДР1,0.0,0.0,2201,0.0,False,0,0,0.0,650.0,,WONDERS-КНСТДР1,False,Закончился,,0.0,False,0.0,Конструктор деревянный Happy Farm 52 детали,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ПДСВКВ1-БЕЛЫЙ,0.0,0.0,2161,0.0,False,0,0,0.0,299.0,,WONDERS-ПДСВКВ1-БЕЛЫЙ,False,Закончился,,0.0,False,0.0,Подсвечник в винтажном стиле,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ПДСВКВ1-ЧЕРН,0.0,0.0,2161,0.0,False,0,0,0.0,280.0,,WONDERS-ПДСВКВ1-ЧЕРН,False,Закончился,,0.0,False,0.0,Подсвечник в винтажном стиле,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ПДСВКР1-БЕЛЫЙ,0.0,0.0,2155,0.0,False,0,0,0.0,299.0,,WONDERS-ПДСВКР1-БЕЛЫЙ,False,Закончился,,0.0,False,0.0,Подсвечник 'Фонарь' 13 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ПДСВКР1-ЧЕРН,0.0,0.0,2155,0.0,False,0,0,0.0,280.0,,WONDERS-ПДСВКР1-ЧЕРН,False,Закончился,,0.0,False,0.0,Подсвечник 'Фонарь' 13 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ПДСВПД1-БЕЛЫЙ,0.0,0.0,2158,0.0,False,0,0,0.0,330.0,,WONDERS-ПДСВПД1-БЕЛЫЙ,False,Закончился,,0.0,False,0.0,Подсвечник 'Фонарь на держателе' 21 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ПДСВПД1-ЧЕРН,0.0,0.0,2158,0.0,False,0,0,0.0,320.0,,WONDERS-ПДСВПД1-ЧЕРН,False,Закончился,,0.0,False,0.0,Подсвечник 'Фонарь на держателе' 21 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ЛЕОНСТ1-ДЕРЕВО,0.0,0.0,253,0.0,False,0,0,0.0,550.0,,WONDERS-ЛЕОНСТ1-ДЕРЕВО,False,Закончился,,0.0,False,0.0,Игрушка-стучалка 'Лягушонок Леон',0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-КВРКДР1,0.0,0.0,1640,0.0,False,0,0,0.0,350.0,,WONDERS-КВРКДР1,False,Закончился,,0.0,False,0.0,Коврик для рисования 'Автобус' 58х48 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-НГСУМК1-ЧЕРН,0.0,0.0,2204,0.0,False,0,0,0.0,130.0,,WONDERS-НГСУМК1-ЧЕРН,False,Закончился,,0.0,False,0.0,Новогодняя сумка для подарков,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-НГСУМК1-УГОЛЬН,0.0,0.0,2204,0.0,False,0,0,0.0,130.0,,WONDERS-НГСУМК1-УГОЛЬН,False,Закончился,,0.0,False,0.0,Новогодняя сумка для подарков,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-НГСУМК1-СЕРЫЙ,0.0,0.0,2204,0.0,False,0,0,0.0,130.0,,WONDERS-НГСУМК1-СЕРЫЙ,False,Закончился,,0.0,False,0.0,Новогодняя сумка для подарков,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-КНСТДР2,0.0,0.0,6705,0.0,False,0,0,0.0,530.0,,WONDERS-КНСТДР2,False,Закончился,,0.0,False,0.0,Конструктор деревянный 'Цифры' 53 детали,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-КНСТДР3,0.0,0.0,6706,0.0,False,0,0,0.0,150.0,,WONDERS-КНСТДР3,False,Закончился,,0.0,False,0.0,Конструктор деревянный в ящике 26 деталей,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ОВЩДЕР1,0.0,0.0,9858,0.0,False,0,0,0.0,600.0,,WONDERS-ОВЩДЕР1,False,Закончился,,0.0,False,0.0,Игровой набор 'Фрукты-овощи' из дерева,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ОВЩДЕР2,0.0,0.0,9860,0.0,False,0,0,0.0,450.0,,WONDERS-ОВЩДЕР2,False,Закончился,,0.0,False,0.0,Игровой продуктовый набор дерево,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ШНРДЕР1,0.0,0.0,9863,0.0,False,0,0,0.0,590.0,,WONDERS-ШНРДЕР1,False,Закончился,,0.0,False,0.0,Шнуровка 'Мое фруктовое дерево',0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-БЛНСГОЛ,0.0,0.0,9868,0.0,False,0,0,0.0,599.0,,WONDERS-БЛНСГОЛ,False,Закончился,,0.0,False,0.0,Игрушка-балансир 'Голубка',0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-МЗКПУГ-ПЛАСТИК,0.0,0.0,358,0.0,False,0,0,0.0,650.0,,WONDERS-МЗКПУГ-ПЛАСТИК,False,Закончился,,0.0,False,0.0,Мозаика 'Пуговицы',0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-КУБИКИ1-ЧЕРН,0.0,0.0,9902,0.0,False,0,0,0.0,170.0,,WONDERS-КУБИКИ1-ЧЕРН,False,Закончился,,0.0,False,0.0,Кубики 9 штук,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-КУБИКИ1-СЕРЫЙ,0.0,0.0,9902,0.0,False,0,0,0.0,170.0,,WONDERS-КУБИКИ1-СЕРЫЙ,False,Закончился,,0.0,False,0.0,Кубики 9 штук,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-КУБИКИ1-КРАСН,0.0,0.0,9902,0.0,False,0,0,0.0,170.0,,WONDERS-КУБИКИ1-КРАСН,False,Закончился,,0.0,False,0.0,Кубики 9 штук,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-КУБИКИ1-ЖЕЛТ,0.0,0.0,9902,0.0,False,0,0,0.0,170.0,,WONDERS-КУБИКИ1-ЖЕЛТ,False,Закончился,,0.0,False,0.0,Кубики 9 штук,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-КУБИКИ1-БЕЛЫЙ,0.0,0.0,9902,0.0,False,0,0,0.0,170.0,,WONDERS-КУБИКИ1-БЕЛЫЙ,False,Закончился,,0.0,False,0.0,Кубики 9 штук,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-МЕМОРИ1,0.0,0.0,9926,0.0,False,0,1,0.0,749.0,,WONDERS-МЕМОРИ1,False,Возврат,,0.0,False,0.0,Игра настольная Мемори мемо на память и логику,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ГОНОЧНЫ,0.0,0.0,9927,0.0,False,0,1,0.0,1750.0,,WONDERS-ГОНОЧНЫ,False,Возврат,,0.0,False,0.0,Гоночный трек с 4 машинками,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-СЛОНЁН1,0.0,0.0,10005,0.0,False,0,0,0.0,550.0,,WONDERS-СЛОНЁН1,False,Закончился,,0.0,False,0.0,Сортер 'Логический слонёнок',0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ЗАЙКИПЗ,0.0,0.0,10198,0.0,False,0,0,0.0,599.0,,WONDERS-ЗАЙКИПЗ,False,Закончился,,0.0,False,0.0,Деревянный пазл 'Семья кроликов',0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ПИРАМИД,0.0,0.0,10314,0.0,False,0,0,0.0,210.0,,WONDERS-ПИРАМИД,False,Закончился,,0.0,False,0.0,Пирамидка деревянная,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ЯЩИКСОР,0.0,0.0,10328,0.0,False,0,0,0.0,760.0,,WONDERS-ЯЩИКСОР,False,Закончился,,0.0,False,0.0,Сортировочный бокс 80 предметов,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-ПИРМАЛ1,0.0,0.0,10659,0.0,False,0,0,0.0,199.0,,WONDERS-ПИРМАЛ1,False,Закончился,,0.0,False,0.0,Деревянная пирамидка,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-КНСТСАМ,0.0,0.0,12903,0.0,False,0,0,0.0,800.0,,WONDERS-КНСТСАМ,False,Закончился,,0.0,False,0.0,Деревянный конструктор. Большой набор.,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-КОНСТРУ,0.0,0.0,12912,0.0,False,0,0,0.0,600.0,,WONDERS-КОНСТРУ,False,Закончился,,0.0,False,0.0,Конструктор деревянный 'Creative blocks' 40 штук,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,0.0,False,0,0.0,True,0,WONDERS-АВТОВОЗ,0.0,0.0,12919,0.0,False,0,0,0.0,800.0,,WONDERS-АВТОВОЗ,False,Закончился,,0.0,False,0.0,Автовоз,0,0,0.0,0
